,Unnamed: 0,period_id,minute,second,outcome,start_x,start_y,end_x,end_y,type_name,FullName,Position,Team,start_frameID
376,376,1,20,53,True,42.42,25.43,30.56,19.86,Pass,Team_B_Player_7,Midfielder,Team_B,1136096
377,377,1,20,56,True,31.6,19.65,29.92,28.29,Pass,Team_B_Player_4,Defender,Team_B,1136190
378,378,1,21,1,True,36.64,27.61,33.6,43.25,Pass,Team_B_Player_2,Defender,Team_B,1136307
379,379,1,21,4,True,37.7,46.04,47.46,64.8,Pass,Team_B_Player_1,Defender,Team_B,1136370
380,380,1,21,8,False,66.78,65.62,70.35,65.62,Pass,Team_B_Player_6,Midfielder,Team_B,1136470
381,381,1,21,9,True,73.29,69.02,73.29,69.02,Out,Team_B_Player_6,Midfielder,Team_B,1136495
382,382,1,21,9,False,31.71,-1.02,31.71,-1.02,Out,Team_A_Player_8,Striker,Team_A,1136495
383,383,1,21,18,True,71.4,68.0,47.78,52.56,Pass,Team_B_Player_3,Defender,Team_B,1136744
384,384,1,21,20,True,46.41,49.78,48.3,23.8,Pass,Team_B_Player_1,Defender,Team_B,1136794
385,385,1,21,21,True,48.3,23.53,67.3,4.35,Pass,Team_B_Player_2,Defender,Team_B,1136801
386,386,1,21,22,True,56.81,16.46,62.06,5.44,Pass,Team_B_Player_4,Defender,Team_B,1136820
387,387,1,21,24,True,69.61,3.4,80.11,7.41,Pass,Team_B_Player_5,Striker,Team_B,1136872
388,388,1,21,26,False,80.01,7.28,78.96,15.16,Pass,Team_B_Player_10,Striker,Team_B,1136920
389,389,1,21,27,True,28.46,54.33,28.46,54.33,Ball recovery,Team_A_Player_1,Defender,Team_A,1136965
390,390,1,21,27,True,28.46,54.33,36.54,57.46,Pass,Team_A_Player_1,Defender,Team_A,1136965
391,391,1,21,29,True,36.44,57.39,48.82,49.23,Pass,Team_A_Player_9,Striker,Team_A,1136996
392,392,1,21,34,True,54.92,39.58,61.0,38.08,Pass,Team_A_Player_5,Midfielder,Team_A,1137132
393,393,1,21,36,True,62.16,41.0,57.96,56.58,Pass,Team_A_Player_10,Striker,Team_A,1137176
394,394,1,21,39,True,57.12,59.91,41.9,61.95,Pass,Team_A_Player_9,Striker,Team_A,1137264
395,395,1,21,42,True,43.36,57.6,34.44,29.24,Pass,Team_A_Player_1,Defender,Team_A,1137327
396,396,1,21,45,True,35.6,26.04,46.62,15.44,Pass,Team_A_Player_3,Defender,Team_A,1137406
397,397,1,21,48,True,47.88,14.01,63.84,17.95,Pass,Team_A_Player_6,Midfielder,Team_A,1137470
398,398,1,21,50,True,46.3,43.86,46.3,43.86,Ball recovery,Team_B_Player_9,Striker,Team_B,1137544
399,399,1,21,51,True,46.3,43.86,59.85,47.06,Pass,Team_B_Player_9,Striker,Team_B,1137569
400,400,1,21,56,False,73.5,54.6,98.07,61.95,Pass,Team_B_Player_8,Midfielder,Team_B,1137670
401,401,1,21,59,True,10.5,5.64,10.5,5.64,Ball recovery,Team_A_Player_3,Defender,Team_A,1137757
402,402,1,22,1,True,95.55,69.02,95.55,69.02,Out,Team_B_Player_8,Midfielder,Team_B,1137819
403,403,1,22,1,False,9.45,-1.02,9.45,-1.02,Out,Team_A_Player_3,Defender,Team_A,1137807
404,404,1,22,15,True,93.34,68.0,98.07,63.17,Pass,Team_B_Player_3,Defender,Team_B,1138145
405,405,1,22,16,True,98.18,63.17,94.4,57.32,Pass,Team_B_Player_9,Striker,Team_B,1138194
406,406,1,22,17,True,94.5,57.53,87.78,65.69,Pass,Team_B_Player_8,Midfielder,Team_B,1138208
407,407,1,22,20,True,84.1,64.87,46.3,57.53,Pass,Team_B_Player_3,Defender,Team_B,1138294
408,408,1,22,24,True,46.41,55.28,47.36,31.48,Pass,Team_B_Player_1,Defender,Team_B,1138377
409,409,1,22,27,True,49.46,27.61,63.0,3.54,Pass,Team_B_Player_2,Defender,Team_B,1138447
410,410,1,22,29,True,63.52,3.94,43.16,14.35,Pass,Team_B_Player_4,Defender,Team_B,1138519
411,411,1,22,32,True,44.84,18.43,38.12,46.31,Pass,Team_B_Player_2,Defender,Team_B,1138570
412,412,1,22,35,True,43.47,47.53,60.27,60.18,Pass,Team_B_Player_1,Defender,Team_B,1138664
413,413,1,22,39,True,59.54,59.36,58.28,43.45,Pass,Team_B_Player_6,Midfielder,Team_B,1138752
414,414,1,22,42,True,60.69,44.2,75.39,37.88,Pass,Team_B_Player_7,Midfielder,Team_B,1138820
415,415,1,22,45,True,73.6,36.45,81.06,7.07,Pass,Team_B_Player_8,Midfielder,Team_B,1138898
416,416,1,22,47,False,82.0,7.68,105.0,17.61,Pass,Team_B_Player_4,Defender,Team_B,1138958
417,417,1,22,50,False,106.15,19.04,106.15,19.04,Out,Team_B_Player_4,Defender,Team_B,1139020
418,418,1,22,50,True,-1.16,48.96,-1.16,48.96,Out,Team_A_Player_9,Striker,Team_A,1139020
419,419,1,23,29,False,5.36,34.41,66.68,51.88,Pass,Team_A_Player_0,Goalkeeper,Team_A,1140008
420,420,1,23,33,True,41.9,16.39,48.09,23.94,Pass,Team_B_Player_7,Midfielder,Team_B,1140119
421,421,1,23,34,True,48.09,23.94,48.09,23.94,Ball recovery,Team_B_Player_6,Midfielder,Team_B,1140144
